,0
0,1000000.0
1,1000000.0
2,1000000.0
3,1000000.0
4,1000000.0
5,1000000.0
6,988609.3109597858
7,985761.4989688254
8,985554.4890540419
9,985554.4890540419
10,985554.4890540419
11,985554.4890540419
12,985554.4890540419
13,985554.4890540419
14,985554.4890540419
15,985554.4890540419
16,985554.4890540419
17,985554.4890540419
18,985554.4890540419
19,985554.4890540419
20,985554.4890540419
21,985554.4890540419
22,985554.4890540419
23,984026.4993135922
24,983819.8537487362
25,983819.8537487362
26,983819.8537487362
27,983819.8537487362
28,983819.8537487362
29,983819.8537487362
30,983819.8537487362
31,983819.8537487362
32,987539.1047477648
33,987331.7215357677
34,987331.7215357677
35,987331.7215357677
36,987331.7215357677
37,987331.7215357677
38,987331.7215357677
39,987331.7215357677
40,987331.7215357677
41,987331.7215357677
42,987331.7215357677
43,987331.7215357677
44,987331.7215357677
45,987331.7215357677
46,987331.7215357677
47,987331.7215357677
48,987331.7215357677
49,987331.7215357677
50,987331.7215357677
51,987331.7215357677
52,987331.7215357677
53,987331.7215357677
54,987331.7215357677
55,987331.7215357677
56,987331.7215357677
57,978893.1199363194
58,978687.5523811328
59,978687.5523811328
60,978687.5523811328
61,978687.5523811328
62,978687.5523811328
63,978687.5523811328
64,978687.5523811328
65,978687.5523811328
66,978687.5523811328
67,978687.5523811328
68,978687.5523811328
69,978687.5523811328
70,978687.5523811328
71,978687.5523811328
72,980420.3685095838
73,980214.4802321967
74,980214.4802321967
75,980214.4802321967
76,979612.2824236305
77,979406.5638443215
78,979406.5638443215
79,979406.5638443215
80,979406.5638443215
81,979406.5638443215
82,979406.5638443215
83,979406.5638443215
84,979406.5638443215
85,979406.5638443215
86,1003278.3875515789
87,1003067.699090193
88,1003067.699090193
89,1003067.699090193
90,1003067.699090193
91,1003067.699090193
92,1003067.699090193
93,1003067.699090193
94,1003067.699090193
95,1003067.699090193
96,1003067.699090193
97,1003067.699090193
98,1003067.699090193
99,1003067.699090193
100,1003067.699090193
101,993609.8111605112
102,993401.1531001674
103,993401.1531001674
104,993401.1531001674
105,993401.1531001674
106,993401.1531001674
107,993401.1531001674
108,993401.1531001674
109,993401.1531001674
110,993401.1531001674
111,999045.0543485517
112,998835.2548871384
113,998835.2548871384
114,998835.2548871384
115,998835.2548871384
116,998835.2548871384
117,998835.2548871384
118,998835.2548871384
119,998835.2548871384
120,998835.2548871384
121,998835.2548871384
122,998835.2548871384
123,998835.2548871384
124,998835.2548871384
125,998835.2548871384
126,998835.2548871384
127,998835.2548871384
128,998835.2548871384
129,998835.2548871384
130,998835.2548871384
131,998835.2548871384
132,998835.2548871384
133,998835.2548871384
134,998835.2548871384
135,998835.2548871384
136,998835.2548871384
137,998835.2548871384
138,998835.2548871384
139,998835.2548871384
140,998835.2548871384
141,1009749.5608112335
142,1009537.513403463
143,1009537.513403463
144,1009537.513403463
145,1009537.513403463
146,1009537.513403463
147,1009537.513403463
148,1009537.513403463
149,1009537.513403463
150,1009537.513403463
151,1009537.513403463
152,1009537.513403463
153,1009537.513403463
154,1009537.513403463
155,1009537.513403463
156,1009537.513403463
157,1009537.513403463
158,1009537.513403463
159,1009537.513403463
160,1009537.513403463
161,1009537.513403463
162,1009537.513403463
163,1009537.513403463
164,1009537.513403463
165,1009537.513403463
166,1009537.513403463
167,1009537.513403463
168,1009537.513403463
169,1009537.513403463
170,1009537.513403463
171,1009537.513403463
172,1009537.513403463
173,1009537.513403463
174,1009537.513403463
175,1009537.513403463
176,1009537.513403463
177,1009537.513403463
178,1009537.513403463
179,1009537.513403463
180,1009537.513403463
181,1009537.513403463
182,1009537.513403463
183,1009537.513403463
184,1009537.513403463
185,1009537.513403463
186,1002391.7697795046
187,1002181.267507851
188,1002181.267507851
189,1002181.267507851
190,1002181.267507851
191,1002181.267507851
192,1002181.267507851
193,1002181.267507851
194,1002181.267507851
195,1002181.267507851
196,1002181.267507851
197,1002181.267507851
198,1002181.267507851
199,1002181.267507851
200,1002181.267507851
201,1002181.267507851
202,1002181.267507851
203,1002181.267507851
204,1002181.267507851
205,1002181.267507851
206,1002181.267507851
207,1002181.267507851
208,1002181.267507851
209,1002181.267507851
210,1002181.267507851
211,1002181.267507851
212,1002181.267507851
213,1002181.267507851
214,1002181.267507851
215,1002181.267507851
216,1002181.267507851
217,1002181.267507851
218,1002181.267507851
219,1002181.267507851
220,1002181.267507851
221,1002181.267507851
222,1002181.267507851
223,1002181.267507851
224,1002181.267507851
225,1002181.267507851
226,1002181.267507851
227,1002181.267507851
228,1002181.267507851
229,1002181.267507851
230,1002181.267507851
231,1002181.267507851
232,1002181.267507851
233,1002181.267507851
234,1002181.267507851
235,1002181.267507851
236,1002181.267507851
237,1002181.267507851
238,1002181.267507851
239,1002181.267507851
240,999100.2748957002
241,998890.4638379721
242,998890.4638379721
243,998890.4638379721
244,998890.4638379721
245,998890.4638379721
246,998890.4638379721
247,998890.4638379721
248,998890.4638379721
249,998890.4638379721
